order_id,product_id,add_to_cart_order,reordered
1077,13176,1,1
1077,39922,2,1
1077,5258,3,1
1077,21137,4,1
1119,6046,1,1
1119,47626,2,1
1119,18465,3,1
1119,27104,4,1
1119,8424,5,0
1119,15937,6,1
1342,13176,1,1
1342,30827,2,1
1342,14966,3,1
1342,21137,4,1
1342,46129,5,1
1342,3798,6,1
1342,33081,7,1
1342,7862,8,1
1620,44626,1,0
1620,15887,2,0
1620,1269,3,0
1620,11301,4,1
1620,25743,5,1
1620,34126,6,1
1620,34969,7,1
1620,8670,8,0
1620,11250,9,0
1620,41570,10,0
1620,22312,11,0
1620,43909,12,0
1620,28127,13,0
1620,13093,14,1
1620,30391,15,1
1620,33768,16,1
1620,44099,17,1
1620,12419,18,0
1620,22034,19,0
1620,39812,20,0
1721,38689,1,1
1721,27845,2,1
1721,22260,3,1
1721,5134,4,1
1721,6104,5,1
1721,14197,6,1
3422,39867,1,1
3422,11689,2,1
3422,3999,3,1
3422,28465,4,1
3422,28204,5,1
3422,4697,6,1
3422,39938,7,1
3422,32271,8,1
3422,18352,9,1
3422,35391,10,0
3422,30169,11,1
3422,27681,12,0
3422,34582,13,1
3422,640,14,0
3422,10329,15,0
3422,35440,16,0
3422,9509,17,0
3422,15359,18,0
3422,30731,19,0
3422,5098,20,0
3422,25877,21,0
3422,14612,22,0
3422,15468,23,0
3422,2042,24,0
3422,2380,25,0
3422,24396,26,0
3422,18599,27,0
3422,3808,28,0
3422,19653,29,0
3422,21019,30,0
3422,424,31,0
3422,25330,32,0
3422,36552,33,0
3422,365,34,0
3563,24382,1,0
3563,34067,2,1
3563,4818,3,1
3563,7123,4,0
3563,24861,5,0
3563,24799,6,0
3563,39332,7,0
3563,4306,8,0
3563,21019,9,0
4148,27356,1,1
4148,19643,2,0
4194,36811,1,0
4194,12939,2,0
4194,14947,3,1
4194,20039,4,1
4194,45200,5,1
4194,46996,6,0
4194,46635,7,1
4194,31181,8,1
4194,46022,9,1
4194,1582,10,1
4194,35921,11,0
4194,26588,12,0
4638,49139,1,0
4638,28647,2,0
4638,7644,3,0
4638,28682,4,0
4638,3318,5,0
4658,5535,1,0
4658,34766,2,0
4772,18963,1,1
4914,32303,1,0
4914,16797,2,0
4914,10473,3,0
4914,12078,4,0
5459,5876,1,1
5459,30391,2,0
5459,21137,3,1
5459,45066,4,1
5459,11777,5,1
5459,47209,6,1
5459,26604,7,1
5459,7361,8,1
5459,49605,9,0
5459,24838,10,1
5459,11520,11,0
5459,3957,12,0
5459,34325,13,0
5459,21938,14,0
5459,28993,15,0
5459,25705,16,1
5459,48953,17,1
5459,36070,18,1
5459,45007,19,1
5459,38510,20,1
5459,26209,21,0
5459,22475,22,1
5459,39877,23,1
5459,42265,24,1
5459,15872,25,0
5459,15899,26,0
5459,44471,27,0
5459,11123,28,0
5459,9337,29,0
5459,46087,30,0
5459,455,31,0
5459,21086,32,0
5459,25424,33,0
5459,12980,34,0
5459,1468,35,0
5459,38730,36,0
